userid,interface,commandsetid,parentisdiff,time,errors,commandid,parenterrors
WyZCFb62m,C,0,f,1678,0,55,0
WyZCFb62m,C,0,f,1003,0,55,0
WyZCFb62m,C,0,t,1452,0,2,0
WyZCFb62m,C,0,t,1167,0,55,0
WyZCFb62m,C,0,t,1184,0,0,0
WyZCFb62m,C,0,f,1228,0,2,0
WyZCFb62m,C,0,t,1093,0,55,0
WyZCFb62m,C,0,t,1137,0,16,0
WyZCFb62m,C,0,f,1370,0,19,0
WyZCFb62m,C,0,f,1089,0,19,0
WyZCFb62m,C,0,t,1282,0,50,0
WyZCFb62m,C,0,f,1349,0,55,0
WyZCFb62m,C,0,t,1365,0,19,0
WyZCFb62m,C,0,t,1342,0,50,0
WyZCFb62m,C,0,t,1161,0,0,0
WyZCFb62m,C,0,t,1490,0,55,0
WyZCFb62m,C,0,t,1169,0,19,0
WyZCFb62m,C,0,t,1326,0,50,0
WyZCFb62m,C,0,t,1181,0,2,0
WyZCFb62m,C,0,t,1117,0,16,0
WyZCFb62m,C,0,t,1303,0,50,0
WyZCFb62m,C,0,t,1213,0,16,0
WyZCFb62m,C,0,t,1137,0,50,0
WyZCFb62m,C,0,t,1074,0,16,0
WyZCFb62m,C,0,f,972,0,16,0
WyZCFb62m,C,0,t,1131,0,50,0
WyZCFb62m,C,0,t,1150,0,2,0
WyZCFb62m,C,0,f,953,0,0,0
WyZCFb62m,C,0,t,1249,0,16,0
WyZCFb62m,C,0,t,1187,0,50,0
WyZCFb62m,C,0,t,1124,0,2,0
WyZCFb62m,C,0,f,910,0,2,0
WyZCFb62m,C,0,t,1367,0,16,0
WyZCFb62m,C,0,t,1049,0,2,0
WyZCFb62m,C,0,f,993,0,0,0
WyZCFb62m,C,0,f,1093,0,2,0
WyZCFb62m,C,0,t,1238,0,55,0
WyZCFb62m,C,0,t,1427,0,2,0
WyZCFb62m,C,0,t,1387,0,19,0
WyZCFb62m,C,0,t,1153,0,2,0
WyZCFb62m,C,0,t,1161,0,16,0
WyZCFb62m,C,0,f,1202,0,19,0
WyZCFb62m,C,0,t,1934,0,55,0
WyZCFb62m,C,0,f,1211,0,50,0
WyZCFb62m,C,0,t,1167,0,2,0
WyZCFb62m,C,0,t,1140,0,16,0
WyZCFb62m,C,0,t,1304,0,50,0
WyZCFb62m,C,0,f,1130,0,55,0
WyZCFb62m,C,0,f,1567,0,50,0
WyZCFb62m,C,0,t,1473,0,19,0
WyZCFb62m,C,0,t,1785,0,2,0
WyZCFb62m,C,0,t,1795,0,19,0
WyZCFb62m,C,0,t,1264,0,0,0
WyZCFb62m,C,0,t,1770,0,19,0
WyZCFb62m,C,0,t,1249,0,2,0
WyZCFb62m,C,0,t,1013,0,50,0
WyZCFb62m,C,0,t,1038,0,16,0
WyZCFb62m,C,0,t,1990,0,55,0
WyZCFb62m,C,0,t,1049,0,16,0
WyZCFb62m,C,0,t,1104,0,0,0
WyZCFb62m,C,0,t,993,0,16,0
